,precision,recall,f1-score,support
0,0.9932432432432432,1.0,0.9966101694915254,588.0
1,1.0,0.2,0.33333333333333337,5.0
accuracy,0.9932546374367622,0.9932546374367622,0.9932546374367622,0.9932546374367622
macro avg,0.9966216216216216,0.6,0.6649717514124294,593.0
weighted avg,0.993300214210838,0.9932546374367622,0.99101761606692,593.0
