,precision,recall,f1-score,support
0,0.9966101694915255,1.0,0.99830220713073,588.0
1,1.0,0.6,0.7499999999999999,5.0
accuracy,0.9966273187183811,0.9966273187183811,0.9966273187183811,0.9966273187183811
macro avg,0.9983050847457627,0.8,0.874151103565365,593.0
weighted avg,0.9966387515362849,0.9966273187183811,0.9962085966152938,593.0
